末代皇帝, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci, 尊龙 John Lone / 陈..., 1987, 9.3, 993189
哈利·波特与魔法石, Chris Columbus, Daniel Radcliffe / Emma Watson / Rupert Grint, 2001, 9.2, 1367123
龙猫, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch..., 1988, 9.2, 1374495
怦然心动, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡..., 2010, 9.1, 1995356
活着, 张艺谋 Yimou Zhang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang, 1994, 9.3, 939652
蝙蝠侠：黑暗骑士, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ..., 2008, 9.2, 1159815
指环王3：王者无敌, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩..., 2003, 9.3, 882772
我不是药神, 文牧野 Muye Wen, 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周..., 2018, 9.0, 2291654
乱世佳人, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor, 费..., 1939, 9.3, 765437
飞屋环游记, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson, 爱德..., 2009, 9.1, 1453162
让子弹飞, 姜文 Wen Jiang, 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F..., 2010, 9.0, 1866837
哈尔的移动城堡, 宫崎骏 Hayao Miyazaki, 倍赏千惠子 Chieko Baishô / 木村拓..., 2004, 9.1, 1239799
素媛, 李濬益 Jun-ik Lee, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..., 2013, 9.3, 754863
十二怒汉, 西德尼·吕美特 Sidney Lumet, 亨利·方达 Henry Fonda / 马丁..., 1957, 9.4, 556270
海蒂和爷爷, 阿兰·葛斯彭纳 Alain Gsponer, 阿努克·斯特芬 Anuk Steffen /..., 2015, 9.3, 737928
猫鼠游戏, 史蒂文·斯皮尔伯格 Steven Spielberg, 莱昂纳多·迪卡普里奥 L..., 2002, 9.1, 1162903
天空之城, 宫崎骏 Hayao Miyazaki, 田中真弓 Mayumi Tanaka / 横泽启子 Ke..., 1986, 9.2, 978809
摔跤吧！爸爸, 涅提·蒂瓦里 Nitesh Tiwari, 阿米尔·汗 Aamir Khan / 法缇玛..., 2016, 9.0, 1699931
鬼子来了, 姜文 Wen Jiang, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..., 2000, 9.3, 691970
少年派的奇幻漂流, 李安 Ang Lee, 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan..., 2012, 9.1, 1454451
钢琴家, 罗曼·波兰斯基 Roman Polanski, 艾德里安·布洛迪 Adrien Brod..., 2002, 9.3, 723649
指环王2：双塔奇兵, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩..., 2002, 9.2, 830542
死亡诗社, 彼得·威尔 Peter Weir, 罗宾·威廉姆斯 Robin Williams / 罗伯..., 1989, 9.2, 839876
大话西游之月光宝盒, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 1995, 9.0, 1327252
何以为家, 娜丁·拉巴基 Nadine Labaki, 扎因·拉费阿 Zain al-Rafeea / ..., 2018, 9.1, 1136136
肖申克的救赎, 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /..., 1994, 9.7, 3181121
霸王别姬, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha..., 1993, 9.6, 2349167
泰坦尼克号, 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo..., 1997, 9.5, 2414144
阿甘正传, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ..., 1994, 9.5, 2361785
千与千寻, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy..., 2001, 9.4, 2456838
美丽人生, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni..., 1997, 9.5, 1440193
这个杀手不太冷, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ..., 1994, 9.4, 2490218
星际穿越, 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc..., 2014, 9.4, 2091197
盗梦空间, 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le..., 2010, 9.4, 2257357
楚门的世界, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..., 1998, 9.4, 1941335
辛德勒的名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson..., 1993, 9.5, 1215074
忠犬八公的故事, 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger..., 2009, 9.4, 1504220
海上钢琴师, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ..., 1998, 9.3, 1829623
三傻大闹宝莱坞, 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡..., 2009, 9.2, 2020171
疯狂动物城, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·..., 2016, 9.2, 2177365
放牛班的春天, 克里斯托夫·巴拉蒂 Christophe Barratier, 让-巴蒂斯特·莫尼..., 2004, 9.3, 1432889
机器人总动员, 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽..., 2008, 9.3, 1441580
无间道, 刘伟强 / 麦兆辉, 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W..., 2002, 9.3, 1513758
控方证人, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·..., 1957, 9.6, 673594
大话西游之大圣娶亲, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 1995, 9.2, 1664410
熔炉, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /..., 2011, 9.3, 1010873
触不可及, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano, 马龙·白兰度 M..., 1972, 9.3, 1068878
寻梦环游记, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ..., 2017, 9.1, 1899061
当幸福来敲门, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ..., 2006, 9.1, 1644804
末代皇帝, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci, 尊龙 John Lone / 陈..., 1987, 9.3, 993189
哈利·波特与魔法石, Chris Columbus, Daniel Radcliffe / Emma Watson / Rupert Grint, 2001, 9.2, 1367123
龙猫, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch..., 1988, 9.2, 1374495
怦然心动, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡..., 2010, 9.1, 1995357
活着, 张艺谋 Yimou Zhang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang, 1994, 9.3, 939652
蝙蝠侠：黑暗骑士, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ..., 2008, 9.2, 1159815
指环王3：王者无敌, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩..., 2003, 9.3, 882772
我不是药神, 文牧野 Muye Wen, 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周..., 2018, 9.0, 2291654
乱世佳人, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor, 费..., 1939, 9.3, 765437
飞屋环游记, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson, 爱德..., 2009, 9.1, 1453162
让子弹飞, 姜文 Wen Jiang, 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F..., 2010, 9.0, 1866837
哈尔的移动城堡, 宫崎骏 Hayao Miyazaki, 倍赏千惠子 Chieko Baishô / 木村拓..., 2004, 9.1, 1239799
素媛, 李濬益 Jun-ik Lee, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..., 2013, 9.3, 754865
十二怒汉, 西德尼·吕美特 Sidney Lumet, 亨利·方达 Henry Fonda / 马丁..., 1957, 9.4, 556270
海蒂和爷爷, 阿兰·葛斯彭纳 Alain Gsponer, 阿努克·斯特芬 Anuk Steffen /..., 2015, 9.3, 737928
猫鼠游戏, 史蒂文·斯皮尔伯格 Steven Spielberg, 莱昂纳多·迪卡普里奥 L..., 2002, 9.1, 1162903
